Mount     ALT  LIMIT-         20160629.10:49:40.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:42.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:42.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:32.078    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:32.079    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:34.162    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:34.162    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:36.162    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:36.162    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:38.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:38.162    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:40.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:40.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:42.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:42.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:44.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:44.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:46.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:46.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:48.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:48.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:50.160    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:50.160    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:52.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:52.162    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:54.160    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:54.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:56.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:56.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:58:58.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:58:58.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:00.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:00.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:02.160    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:02.160    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:04.160    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:04.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:06.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:06.162    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:08.160    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:08.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:10.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:10.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:12.160    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:12.160    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:14.162    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:14.162    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:16.160    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:16.160    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:18.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:18.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:20.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:20.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:22.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:22.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:24.160    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:24.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:26.163    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:26.163    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:28.161    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:59:28.161    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:59:30.160    	AZ  LIMIT-                                                                                         
